s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 1.1325993E+002, 1.2525915E+001,-4.1250705E+000,-2.6803177E+000,-2.5498958E+000, 2.5374986E-003, 0.0000000E+000, 0.0000000E+000, 3.0757819E+000, 3.1731685E+000, 6.5707755E-004, 6.5707755E-004
 1.1345806E+002, 1.2087296E+001,-4.0802580E+000,-2.7107439E+000,-2.5474311E+000, 2.5355089E-003, 0.0000000E+000, 0.0000000E+000, 3.0985762E+000, 2.7513990E+000, 6.5707755E-004, 6.5707755E-004
 1.1367599E+002, 1.1900419E+001,-3.9442014E+000,-2.7655106E+000,-2.5532818E+000, 2.5326381E-003, 0.0000000E+000, 0.0000000E+000, 2.6909494E+000, 2.6399575E+000, 6.5707755E-004, 6.5707755E-004
 1.1389393E+002, 1.2269753E+001,-3.8799106E+000,-2.8430951E+000,-2.5533489E+000, 2.5294086E-003, 0.0000000E+000, 0.0000000E+000, 2.5893524E+000, 2.9959276E+000, 6.5707755E-004, 6.5707755E-004
 1.1408488E+002, 1.3039693E+001,-3.9205652E+000,-2.9377247E+000,-2.5403592E+000, 2.5274944E-003, 0.0000000E+000, 0.0000000E+000, 2.9541562E+000, 3.6435709E+000, 6.5707755E-004, 6.5707755E-004
 1.1427585E+002, 1.2730411E+001,-4.0870335E+000,-3.1351258E+000,-2.5143533E+000, 2.5280651E-003, 0.0000000E+000, 0.0000000E+000, 3.5756803E+000, 2.9964264E+000, 6.5707755E-004, 6.5707755E-004
 1.1446681E+002, 1.2598769E+001,-4.0403950E+000,-3.3348727E+000,-2.5091065E+000, 2.5311851E-003, 0.0000000E+000, 0.0000000E+000, 2.9163279E+000, 2.7169260E+000, 6.5707755E-004, 6.5707755E-004
 1.1465777E+002, 1.2542191E+001,-3.9885989E+000,-3.5535498E+000,-2.4859855E+000, 2.5354321E-003, 0.0000000E+000, 0.0000000E+000, 2.6239759E+000, 2.5165923E+000, 6.5707755E-004, 6.5707755E-004
 1.1484873E+002, 1.2518200E+001,-3.9478803E+000,-3.7973620E+000,-2.4738533E+000, 2.5396207E-003, 0.0000000E+000, 0.0000000E+000, 2.4278210E+000, 2.3016440E+000, 6.5707755E-004, 6.5707755E-004
 1.1503970E+002, 1.2508384E+001,-3.9186972E+000,-4.0104254E+000,-2.4710827E+000, 2.5429102E-003, 0.0000000E+000, 0.0000000E+000, 2.2166224E+000, 2.1107213E+000, 6.5707755E-004, 6.5707755E-004
 1.1523066E+002, 1.2504654E+001,-3.9160811E+000,-4.2258137E+000,-2.4693678E+000, 2.5449139E-003, 0.0000000E+000, 0.0000000E+000, 2.0597043E+000, 1.8959361E+000, 6.5707755E-004, 6.5707755E-004
 1.1542162E+002, 1.2503469E+001,-3.8751595E+000,-4.3758573E+000,-2.4805279E+000, 2.5456350E-003, 0.0000000E+000, 0.0000000E+000, 1.8874011E+000, 1.7744695E+000, 6.5707755E-004, 6.5707755E-004
