s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 1.0961395E+002, 1.2548312E+001,-3.6786761E+000,-3.2684270E+000,-2.6987243E+000, 2.5508080E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9990970E+000, 2.9050352E+000, 6.5707755E-004, 6.5707755E-004
 1.0976334E+002, 1.2495932E+001,-3.6935766E+000,-3.2460213E+000,-2.6929689E+000, 2.5482102E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9295842E+000, 2.8659139E+000, 6.5707755E-004, 6.5707755E-004
 1.0991271E+002, 1.2448905E+001,-3.7088861E+000,-3.2278241E+000,-2.6960956E+000, 2.5455492E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8798408E+000, 2.8186445E+000, 6.5707755E-004, 6.5707755E-004
 1.1006209E+002, 1.2423084E+001,-3.7358420E+000,-3.2068507E+000,-2.7031243E+000, 2.5433904E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8325524E+000, 2.7798105E+000, 6.5707755E-004, 6.5707755E-004
 1.1021147E+002, 1.2459128E+001,-3.7387045E+000,-3.1911576E+000,-2.7081710E+000, 2.5426392E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7914437E+000, 2.8236380E+000, 6.5707755E-004, 6.5707755E-004
 1.1036085E+002, 1.2477438E+001,-4.0570017E+000,-3.1818628E+000,-2.7159681E+000, 2.5435289E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8341258E+000, 2.5251485E+000, 6.5707755E-004, 6.5707755E-004
 1.1051022E+002, 1.2487597E+001,-3.9534233E+000,-3.1685902E+000,-2.7241911E+000, 2.5452572E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5377426E+000, 2.6439378E+000, 6.5707755E-004, 6.5707755E-004
 1.1067454E+002, 1.2131596E+001,-3.8787597E+000,-3.1633273E+000,-2.7297757E+000, 2.5468126E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6574883E+000, 2.3622798E+000, 6.5707755E-004, 6.5707755E-004
 1.1083886E+002, 1.2320449E+001,-4.1480856E+000,-3.1551093E+000,-2.7353643E+000, 2.5473521E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3742824E+000, 2.2844375E+000, 6.5707755E-004, 6.5707755E-004
 1.1100317E+002, 1.2411606E+001,-4.0503174E+000,-3.1405567E+000,-2.7396672E+000, 2.5473253E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2975089E+000, 2.4836126E+000, 6.5707755E-004, 6.5707755E-004
 1.1116749E+002, 1.2456937E+001,-3.6731128E+000,-3.1203399E+000,-2.7344996E+000, 2.5473798E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4946498E+000, 2.9315319E+000, 6.5707755E-004, 6.5707755E-004
 1.1133180E+002, 1.2479115E+001,-4.1001953E+000,-3.1093781E+000,-2.7398912E+000, 2.5473331E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9320710E+000, 2.5321972E+000, 6.5707755E-004, 6.5707755E-004
 1.1149612E+002, 1.2491581E+001,-4.0372528E+000,-3.0881302E+000,-2.7465119E+000, 2.5466036E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5367326E+000, 2.6222330E+000, 6.5707755E-004, 6.5707755E-004
 1.1166044E+002, 1.2497642E+001,-4.0086129E+000,-3.0658508E+000,-2.7558457E+000, 2.5448400E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6304902E+000, 2.6698775E+000, 6.5707755E-004, 6.5707755E-004
 1.1180803E+002, 1.2916431E+001,-4.0103864E+000,-3.0509274E+000,-2.7398341E+000, 2.5424719E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6815633E+000, 3.1178254E+000, 6.5707755E-004, 6.5707755E-004
 1.1195562E+002, 1.2717699E+001,-4.1193933E+000,-3.0501887E+000,-2.7328807E+000, 2.5398615E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1229358E+000, 2.8177763E+000, 6.5707755E-004, 6.5707755E-004
 1.1210322E+002, 1.2614354E+001,-4.1089426E+000,-3.0617280E+000,-2.7292600E+000, 2.5371583E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8193406E+000, 2.7169602E+000, 6.5707755E-004, 6.5707755E-004
 1.1225081E+002, 1.2560437E+001,-4.0993806E+000,-3.0800363E+000,-2.7150416E+000, 2.5343833E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7218909E+000, 2.6685128E+000, 6.5707755E-004, 6.5707755E-004
 1.1241315E+002, 1.2171577E+001,-4.1042205E+000,-3.1173750E+000,-2.6963112E+000, 2.5317015E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6688423E+000, 2.2562021E+000, 6.5707755E-004, 6.5707755E-004
 1.1257551E+002, 1.2340575E+001,-4.0004626E+000,-3.1569660E+000,-2.6756261E+000, 2.5296113E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2457838E+000, 2.5100497E+000, 6.5707755E-004, 6.5707755E-004
 1.1273786E+002, 1.2422608E+001,-3.9861928E+000,-3.2051968E+000,-2.6575560E+000, 2.5280643E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4906839E+000, 2.5761908E+000, 6.5707755E-004, 6.5707755E-004
 1.1288147E+002, 1.2925049E+001,-3.9569484E+000,-3.2414359E+000,-2.6585955E+000, 2.5272698E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5562674E+000, 3.0705969E+000, 6.5707755E-004, 6.5707755E-004
 1.1302509E+002, 1.2725061E+001,-4.0138813E+000,-3.2975789E+000,-2.6489492E+000, 2.5269104E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0585843E+000, 2.7671788E+000, 6.5707755E-004, 6.5707755E-004
 1.1318306E+002, 1.2257350E+001,-3.9584838E+000,-3.3628724E+000,-2.6441238E+000, 2.5271202E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7529951E+000, 2.2943968E+000, 6.5707755E-004, 6.5707755E-004
 1.1334103E+002, 1.2380038E+001,-3.7951302E+000,-3.4169850E+000,-2.6321805E+000, 2.5278161E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2835292E+000, 2.5382698E+000, 6.5707755E-004, 6.5707755E-004
 1.1351480E+002, 1.2070210E+001,-3.7125807E+000,-3.4887193E+000,-2.6241043E+000, 2.5289519E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5206271E+000, 2.2473349E+000, 6.5707755E-004, 6.5707755E-004
 1.1368858E+002, 1.2301889E+001,-3.5602594E+000,-3.5513646E+000,-2.6191311E+000, 2.5303947E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2278338E+000, 2.5736643E+000, 6.5707755E-004, 6.5707755E-004
 1.1387972E+002, 1.2012550E+001,-3.5012600E+000,-3.6095235E+000,-2.6139847E+000, 2.5322622E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5583867E+000, 2.2903136E+000, 6.5707755E-004, 6.5707755E-004
 1.1407087E+002, 1.2292636E+001,-3.3900539E+000,-3.6280848E+000,-2.6083977E+000, 2.5343933E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2888606E+000, 2.6686342E+000, 6.5707755E-004, 6.5707755E-004
 1.1426202E+002, 1.2412363E+001,-3.3860986E+000,-3.6187874E+000,-2.6099894E+000, 2.5366633E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6798163E+000, 2.8000239E+000, 6.5707755E-004, 6.5707755E-004
 1.1445316E+002, 1.2463448E+001,-3.0877452E+000,-3.5801144E+000,-2.6089361E+000, 2.5387628E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8263499E+000, 3.1891913E+000, 6.5707755E-004, 6.5707755E-004
 1.1464431E+002, 1.2484628E+001,-3.1909734E+000,-3.5194388E+000,-2.6083537E+000, 2.5402364E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2308092E+000, 3.1684028E+000, 6.5707755E-004, 6.5707755E-004
 1.1483546E+002, 1.2492968E+001,-3.2429914E+000,-3.4389383E+000,-2.6113956E+000, 2.5408768E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2180607E+000, 3.2021836E+000, 6.5707755E-004, 6.5707755E-004
 1.1502661E+002, 1.2495638E+001,-3.9719963E+000,-3.3600747E+000,-2.6124447E+000, 2.5406678E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2597450E+000, 2.5536626E+000, 6.5707755E-004, 6.5707755E-004
 1.1523687E+002, 1.2052823E+001,-3.7464342E+000,-3.2645669E+000,-2.6129753E+000, 2.5397506E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6202836E+000, 2.4313860E+000, 6.5707755E-004, 6.5707755E-004
 1.1544714E+002, 1.2320117E+001,-3.6146185E+000,-3.1550836E+000,-2.6109891E+000, 2.5378996E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4936833E+000, 2.9419640E+000, 6.5707755E-004, 6.5707755E-004
 1.1565739E+002, 1.2423855E+001,-3.6621954E+000,-3.0652991E+000,-2.6218661E+000, 2.5356334E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9929590E+000, 3.0770301E+000, 6.5707755E-004, 6.5707755E-004
 1.1582937E+002, 1.3402154E+001,-4.0483467E+000,-2.9897572E+000,-2.6273216E+000, 2.5335545E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1127054E+000, 3.7392620E+000, 6.5707755E-004, 6.5707755E-004
 1.1600135E+002, 1.2920019E+001,-3.9013793E+000,-2.9425774E+000,-2.6516550E+000, 2.5319974E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.7686261E+000, 3.4269396E+000, 6.5707755E-004, 6.5707755E-004
 1.1617332E+002, 1.2695090E+001,-3.9957038E+000,-2.9026128E+000,-2.6574818E+000, 2.5310424E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4604521E+000, 3.1418225E+000, 6.5707755E-004, 6.5707755E-004
 1.1634530E+002, 1.2592301E+001,-4.0086594E+000,-2.8693753E+000,-2.6679389E+000, 2.5310168E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1607358E+000, 3.0488581E+000, 6.5707755E-004, 6.5707755E-004
 1.1651727E+002, 1.2544310E+001,-3.9937159E+000,-2.8435150E+000,-2.6759557E+000, 2.5321411E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0614200E+000, 3.0336560E+000, 6.5707755E-004, 6.5707755E-004
 1.1668925E+002, 1.2521590E+001,-3.9676517E+000,-2.8276792E+000,-2.6804426E+000, 2.5343231E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0397859E+000, 3.0483510E+000, 6.5707755E-004, 6.5707755E-004
