s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
Time,"Profile","Profile","Profile","Profile","Profile","Profile","Profile","Profile","Profile","Profile","Profile","Profile","Profile","Profile","Profile","Profile"
 8.7802856E-003, 3.5619515E+001, 3.5828250E+001, 3.6016828E+001, 3.6133364E+001, 3.6125556E+001, 3.5959445E+001, 3.5636423E+001, 3.5200851E+001, 3.4731245E+001, 3.4314741E+001, 3.4018459E+001, 3.3873609E+001, 3.3875441E+001, 3.3992549E+001, 3.4179088E+001, 3.4387459E+001
 8.8914285E-003, 3.5691776E+001, 3.5922000E+001, 3.6126980E+001, 3.6248824E+001, 3.6231076E+001, 3.6039080E+001, 3.5677214E+001, 3.5196010E+001, 3.4682041E+001, 3.4230081E+001, 3.3912141E+001, 3.3760626E+001, 3.3768819E+001, 3.3901364E+001, 3.4107725E+001, 3.4336066E+001
 9.0025713E-003, 3.5740691E+001, 3.5984196E+001, 3.6197465E+001, 3.6318779E+001, 3.6290154E+001, 3.6077981E+001, 3.5689624E+001, 3.5180030E+001, 3.4640771E+001, 3.4170752E+001, 3.3844042E+001, 3.3692814E+001, 3.3708370E+001, 3.3852417E+001, 3.4071371E+001, 3.4311088E+001
 9.1137142E-003, 3.5756340E+001, 3.6001931E+001, 3.6213256E+001, 3.6328051E+001, 3.6290008E+001, 3.6067955E+001, 3.5671208E+001, 3.5156266E+001, 3.4615732E+001, 3.4148526E+001, 3.3827687E+001, 3.3683805E+001, 3.3706516E+001, 3.3856058E+001, 3.4077947E+001, 3.4318119E+001
 9.2248570E-003, 3.5730947E+001, 3.5965318E+001, 3.6163492E+001, 3.6266805E+001, 3.6223899E+001, 3.6006604E+001, 3.5624059E+001, 3.5130535E+001, 3.4615183E+001, 3.4172712E+001, 3.3872227E+001, 3.3741713E+001, 3.3769811E+001, 3.3917108E+001, 3.4130701E+001, 3.4359192E+001
 9.3359999E-003, 3.5661118E+001, 3.5870461E+001, 3.6044951E+001, 3.6133920E+001, 3.6093609E+001, 3.5898414E+001, 3.5554417E+001, 3.5109521E+001, 3.4644953E+001, 3.4247375E+001, 3.3979626E+001, 3.3866544E+001, 3.3896741E+001, 3.4033149E+001, 3.4226976E+001, 3.4431970E+001
 9.4471428E-003, 3.5549865E+001, 3.5722054E+001, 3.5864796E+001, 3.5939135E+001, 3.5910347E+001, 3.5754222E+001, 3.5470965E+001, 3.5098386E+001, 3.4705889E+001, 3.4369032E+001, 3.4142819E+001, 3.4048877E+001, 3.4076910E+001, 3.4194112E+001, 3.4358096E+001, 3.4529762E+001
 9.5582856E-003, 3.5407650E+001, 3.5534553E+001, 3.5641348E+001, 3.5702864E+001, 3.5693452E+001, 3.5589102E+001, 3.5382391E+001, 3.5098514E+001, 3.4792204E+001, 3.4525807E+001, 3.4345665E+001, 3.4270455E+001, 3.4292032E+001, 3.4383464E+001, 3.4510489E+001, 3.4642437E+001
 9.6694285E-003, 3.5251675E+001, 3.5330907E+001, 3.5401936E+001, 3.5453196E+001, 3.5467082E+001, 3.5419437E+001, 3.5295309E+001, 3.5106535E+001, 3.4891677E+001, 3.4698730E+001, 3.4565076E+001, 3.4506801E+001, 3.4518702E+001, 3.4580788E+001, 3.4667854E+001, 3.4758038E+001
 9.7805713E-003, 3.5103002E+001, 3.5138499E+001, 3.5177818E+001, 3.5220639E+001, 3.5255910E+001, 3.5260323E+001, 3.5213557E+001, 3.5115323E+001, 3.4988055E+001, 3.4865142E+001, 3.4775004E+001, 3.4731366E+001, 3.4732326E+001, 3.4765193E+001, 3.4813843E+001, 3.4864711E+001
 9.8917142E-003, 3.4981921E+001, 3.4983051E+001, 3.4997396E+001, 3.5032041E+001, 3.5081054E+001, 3.5124074E+001, 3.5139110E+001, 3.5116793E+001, 3.5065087E+001, 3.5003397E+001, 3.4951328E+001, 3.4920215E+001, 3.4911285E+001, 3.4918741E+001, 3.4934662E+001, 3.4952547E+001
 1.0002857E-002, 3.4902886E+001, 3.4882324E+001, 3.4879733E+001, 3.4905326E+001, 3.4957031E+001, 3.5019712E+001, 3.5073877E+001, 3.5105385E+001, 3.5110951E+001, 3.5097593E+001, 3.5076456E+001, 3.5056191E+001, 3.5040457E+001, 3.5029204E+001, 3.5021102E+001, 3.5015014E+001
 1.0114000E-002, 3.4870820E+001, 3.4841801E+001, 3.4830400E+001, 3.4846234E+001, 3.4889845E+001, 3.4952651E+001, 3.5021014E+001, 3.5080690E+001, 3.5121596E+001, 3.5141066E+001, 3.5142585E+001, 3.5131726E+001, 3.5113451E+001, 3.5091724E+001, 3.5069731E+001, 3.5049791E+001
 1.0225143E-002, 3.4880223E+001, 3.4853909E+001, 3.4840892E+001, 3.4847714E+001, 3.4876164E+001, 3.4923901E+001, 3.4984640E+001, 3.5047929E+001, 3.5101821E+001, 3.5137705E+001, 3.5152941E+001, 3.5149811E+001, 3.5133254E+001, 3.5109200E+001, 3.5083107E+001, 3.5058910E+001
 1.0336286E-002, 3.4917419E+001, 3.4901005E+001, 3.4891741E+001, 3.4892141E+001, 3.4903906E+001, 3.4929049E+001, 3.4967911E+001, 3.5015914E+001, 3.5063579E+001, 3.5100619E+001, 3.5120650E+001, 3.5122943E+001, 3.5111219E+001, 3.5091360E+001, 3.5069022E+001, 3.5048190E+001
 1.0447428E-002, 3.4965028E+001, 3.4960996E+001, 3.4958356E+001, 3.4956055E+001, 3.4954737E+001, 3.4958103E+001, 3.4970592E+001, 3.4993327E+001, 3.5021935E+001, 3.5048339E+001, 3.5065330E+001, 3.5070102E+001, 3.5064436E+001, 3.5052581E+001, 3.5038787E+001, 3.5025966E+001
 1.0558571E-002, 3.5007034E+001, 3.5013630E+001, 3.5017800E+001, 3.5016323E+001, 3.5008469E+001, 3.4997189E+001, 3.4987804E+001, 3.4985068E+001, 3.4990108E+001, 3.4999532E+001, 3.5008050E+001, 3.5012227E+001, 3.5011860E+001, 3.5008721E+001, 3.5004773E+001, 3.5001275E+001
 1.0669714E-002, 3.5032790E+001, 3.5045496E+001, 3.5054448E+001, 3.5055963E+001, 3.5048243E+001, 3.5032079E+001, 3.5010983E+001, 3.4990453E+001, 3.4975498E+001, 3.4967875E+001, 3.4965950E+001, 3.4967156E+001, 3.4969909E+001, 3.4973539E+001, 3.4977647E+001, 3.4981846E+001
 1.0780857E-002, 3.5038926E+001, 3.5052415E+001, 3.5062946E+001, 3.5067766E+001, 3.5064702E+001, 3.5052223E+001, 3.5030732E+001, 3.5003986E+001, 3.4978205E+001, 3.4958862E+001, 3.4948183E+001, 3.4945470E+001, 3.4948721E+001, 3.4955610E+001, 3.4964020E+001, 3.4972394E+001
 1.0892000E-002, 3.5028875E+001, 3.5038844E+001, 3.5047820E+001, 3.5054684E+001, 3.5057594E+001, 3.5053551E+001, 3.5040117E+001, 3.5018091E+001, 3.4992352E+001, 3.4969545E+001, 3.4954517E+001, 3.4948586E+001, 3.4950256E+001, 3.4956727E+001, 3.4965233E+001, 3.4973783E+001
 1.1003143E-002, 3.5010482E+001, 3.5014823E+001, 3.5020208E+001, 3.5027073E+001, 3.5034368E+001, 3.5038929E+001, 3.5036883E+001, 3.5026331E+001, 3.5009295E+001, 3.4991046E+001, 3.4976977E+001, 3.4969755E+001, 3.4968940E+001, 3.4972380E+001, 3.4977742E+001, 3.4983333E+001
 1.1114286E-002, 3.4992608E+001, 3.4991657E+001, 3.4993007E+001, 3.4997999E+001, 3.5006462E+001, 3.5016219E+001, 3.5023727E+001, 3.5025722E+001, 3.5021266E+001, 3.5012638E+001, 3.5003770E+001, 3.4997543E+001, 3.4994610E+001, 3.4994144E+001, 3.4994975E+001, 3.4996198E+001
 1.1225428E-002, 3.4981924E+001, 3.4977827E+001, 3.4976152E+001, 3.4978310E+001, 3.4984754E+001, 3.4994852E+001, 3.5006726E+001, 3.5017402E+001, 3.5024073E+001, 3.5025825E+001, 3.5023947E+001, 3.5020440E+001, 3.5016634E+001, 3.5013093E+001, 3.5009978E+001, 3.5007298E+001
 1.1336571E-002, 3.4980944E+001, 3.4976491E+001, 3.4973632E+001, 3.4973183E+001, 3.4975801E+001, 3.4982231E+001, 3.4992652E+001, 3.5005613E+001, 3.5018077E+001, 3.5027028E+001, 3.5031136E+001, 3.5030900E+001, 3.5027692E+001, 3.5022970E+001, 3.5017878E+001, 3.5013110E+001
 1.1447714E-002, 3.4987873E+001, 3.4985303E+001, 3.4983089E+001, 3.4981208E+001, 3.4980121E+001, 3.4981243E+001, 3.4986251E+001, 3.4995545E+001, 3.5007281E+001, 3.5018102E+001, 3.5025139E+001, 3.5027456E+001, 3.5025886E+001, 3.5022015E+001, 3.5017297E+001, 3.5012682E+001
 1.1558857E-002, 3.4998112E+001, 3.4998342E+001, 3.4997892E+001, 3.4996076E+001, 3.4992950E+001, 3.4989757E+001, 3.4988546E+001, 3.4990999E+001, 3.4997082E+001, 3.5004697E+001, 3.5011006E+001, 3.5014298E+001, 3.5014597E+001, 3.5012906E+001, 3.5010315E+001, 3.5007587E+001
 1.1670000E-002, 3.5006621E+001, 3.5009145E+001, 3.5010556E+001, 3.5009946E+001, 3.5006991E+001, 3.5002168E+001, 3.4996824E+001, 3.4992855E+001, 3.4991712E+001, 3.4993320E+001, 3.4996193E+001, 3.4998760E+001, 3.5000350E+001, 3.5001036E+001, 3.5001131E+001, 3.5000924E+001
 1.1781143E-002, 3.5010078E+001, 3.5013472E+001, 3.5015985E+001, 3.5016935E+001, 3.5015816E+001, 3.5012223E+001, 3.5006245E+001, 3.4999021E+001, 3.4992531E+001, 3.4988437E+001, 3.4987113E+001, 3.4987855E+001, 3.4989715E+001, 3.4991943E+001, 3.4994062E+001, 3.4995848E+001
 1.1892286E-002, 3.5007989E+001, 3.5010710E+001, 3.5013204E+001, 3.5015268E+001, 3.5016449E+001, 3.5015775E+001, 3.5012229E+001, 3.5005763E+001, 3.4997855E+001, 3.4990858E+001, 3.4986575E+001, 3.4985391E+001, 3.4986571E+001, 3.4989004E+001, 3.4991754E+001, 3.4994270E+001
 1.2003428E-002, 3.5002412E+001, 3.5003516E+001, 3.5005079E+001, 3.5007350E+001, 3.5010089E+001, 3.5012285E+001, 3.5012474E+001, 3.5009655E+001, 3.5004204E+001, 3.4997964E+001, 3.4993119E+001, 3.4990823E+001, 3.4990864E+001, 3.4992333E+001, 3.4994322E+001, 3.4996240E+001
 1.2114571E-002, 3.4996614E+001, 3.4996078E+001, 3.4996387E+001, 3.4997996E+001, 3.5000904E+001, 3.5004514E+001, 3.5007690E+001, 3.5009148E+001, 3.5008208E+001, 3.5005441E+001, 3.5002333E+001, 3.5000149E+001, 3.4999227E+001, 3.4999236E+001, 3.4999693E+001, 3.5000221E+001
 1.2225714E-002, 3.4993377E+001, 3.4991949E+001, 3.4991315E+001, 3.4991838E+001, 3.4993660E+001, 3.4996772E+001, 3.5000857E+001, 3.5005054E+001, 3.5008190E+001, 3.5009543E+001, 3.5009314E+001, 3.5008256E+001, 3.5007002E+001, 3.5005853E+001, 3.5004875E+001, 3.5004020E+001
 1.2336857E-002, 3.4993774E+001, 3.4992483E+001, 3.4991595E+001, 3.4991188E+001, 3.4991402E+001, 3.4992676E+001, 3.4995508E+001, 3.4999842E+001, 3.5004730E+001, 3.5008777E+001, 3.5011032E+001, 3.5011449E+001, 3.5010588E+001, 3.5009108E+001, 3.5007472E+001, 3.5005900E+001
 1.2448000E-002, 3.4996924E+001, 3.4996529E+001, 3.4996062E+001, 3.4995299E+001, 3.4994271E+001, 3.4993522E+001, 3.4993952E+001, 3.4996210E+001, 3.5000056E+001, 3.5004291E+001, 3.5007505E+001, 3.5009000E+001, 3.5008977E+001, 3.5008035E+001, 3.5006711E+001, 3.5005320E+001
 1.2559143E-002, 3.5000728E+001, 3.5001387E+001, 3.5001670E+001, 3.5001197E+001, 3.4999864E+001, 3.4997984E+001, 3.4996296E+001, 3.4995701E+001, 3.4996704E+001, 3.4998930E+001, 3.5001346E+001, 3.5003064E+001, 3.5003851E+001, 3.5003921E+001, 3.5003566E+001, 3.5003013E+001
 1.2670286E-002, 3.5003098E+001, 3.5004390E+001, 3.5005301E+001, 3.5005505E+001, 3.5004811E+001, 3.5003141E+001, 3.5000683E+001, 3.4998066E+001, 3.4996173E+001, 3.4995564E+001, 3.4996098E+001, 3.4997202E+001, 3.4998372E+001, 3.4999341E+001, 3.5000023E+001, 3.5000439E+001
 1.2781428E-002, 3.5003019E+001, 3.5004255E+001, 3.5005362E+001, 3.5006214E+001, 3.5006617E+001, 3.5006175E+001, 3.5004485E+001, 3.5001605E+001, 3.4998282E+001, 3.4995606E+001, 3.4994307E+001, 3.4994394E+001, 3.4995377E+001, 3.4996691E+001, 3.4997940E+001, 3.4998949E+001
 1.2892571E-002, 3.5000919E+001, 3.5001548E+001, 3.5002385E+001, 3.5003519E+001, 3.5004821E+001, 3.5005804E+001, 3.5005762E+001, 3.5004236E+001, 3.5001479E+001, 3.4998475E+001, 3.4996339E+001, 3.4995587E+001, 3.4995990E+001, 3.4996997E+001, 3.4998131E+001, 3.4999124E+001
 1.3003714E-002, 3.4998237E+001, 3.4998124E+001, 3.4998446E+001, 3.4999398E+001, 3.5000939E+001, 3.5002731E+001, 3.5004179E+001, 3.5004641E+001, 3.5003837E+001, 3.5002164E+001, 3.5000485E+001, 3.4999486E+001, 3.4999277E+001, 3.4999592E+001, 3.5000107E+001, 3.5000590E+001
 1.3114857E-002, 3.4996520E+001, 3.4995955E+001, 3.4995833E+001, 3.4996303E+001, 3.4997378E+001, 3.4998997E+001, 3.5000971E+001, 3.5002869E+001, 3.5004142E+001, 3.5004501E+001, 3.5004148E+001, 3.5003548E+001, 3.5003036E+001, 3.5002710E+001, 3.5002518E+001, 3.5002355E+001
 1.3226000E-002, 3.4996560E+001, 3.4996040E+001, 3.4995776E+001, 3.4995765E+001, 3.4996020E+001, 3.4996711E+001, 3.4998087E+001, 3.5000149E+001, 3.5002463E+001, 3.5004351E+001, 3.5005360E+001, 3.5005514E+001, 3.5005145E+001, 3.5004583E+001, 3.5003998E+001, 3.5003426E+001
 1.3337143E-002, 3.4998060E+001, 3.4997979E+001, 3.4997902E+001, 3.4997673E+001, 3.4997256E+001, 3.4996890E+001, 3.4997039E+001, 3.4998086E+001, 3.4999975E+001, 3.5002119E+001, 3.5003784E+001, 3.5004604E+001, 3.5004703E+001, 3.5004390E+001, 3.5003898E+001, 3.5003337E+001
 1.3448286E-002, 3.4999938E+001, 3.5000377E+001, 3.5000656E+001, 3.5000552E+001, 3.4999975E+001, 3.4999049E+001, 3.4998135E+001, 3.4997733E+001, 3.4998179E+001, 3.4999342E+001, 3.5000696E+001, 3.5001750E+001, 3.5002349E+001, 3.5002569E+001, 3.5002532E+001, 3.5002329E+001
 1.3559428E-002, 3.5001039E+001, 3.5001764E+001, 3.5002337E+001, 3.5002584E+001, 3.5002386E+001, 3.5001659E+001, 3.5000448E+001, 3.4999064E+001, 3.4998017E+001, 3.4997689E+001, 3.4998073E+001, 3.4998854E+001, 3.4999698E+001, 3.5000395E+001, 3.5000864E+001, 3.5001115E+001
 1.3670571E-002, 3.5000815E+001, 3.5001454E+001, 3.5002096E+001, 3.5002690E+001, 3.5003126E+001, 3.5003153E+001, 3.5002491E+001, 3.5001106E+001, 3.4999388E+001, 3.4997983E+001, 3.4997372E+001, 3.4997586E+001, 3.4998303E+001, 3.4999150E+001, 3.4999882E+001, 3.5000415E+001
 1.3781714E-002, 3.4999566E+001, 3.4999849E+001, 3.5000330E+001, 3.5001070E+001, 3.5001994E+001, 3.5002817E+001, 3.5003119E+001, 3.5002590E+001, 3.5001310E+001, 3.4999810E+001, 3.4998750E+001, 3.4998452E+001, 3.4998781E+001, 3.4999403E+001, 3.5000041E+001, 3.5000551E+001
 1.3892857E-002, 3.4998167E+001, 3.4998077E+001, 3.4998297E+001, 3.4998924E+001, 3.4999920E+001, 3.5001099E+001, 3.5002151E+001, 3.5002714E+001, 3.5002578E+001, 3.5001896E+001, 3.5001120E+001, 3.5000650E+001, 3.5000582E+001, 3.5000785E+001, 3.5001079E+001, 3.5001324E+001
 1.4004000E-002, 3.4997478E+001, 3.4997229E+001, 3.4997263E+001, 3.4997619E+001, 3.4998274E+001, 3.4999202E+001, 3.5000358E+001, 3.5001560E+001, 3.5002503E+001, 3.5002954E+001, 3.5002939E+001, 3.5002700E+001, 3.5002466E+001, 3.5002331E+001, 3.5002269E+001, 3.5002198E+001
 1.4115143E-002, 3.4997825E+001, 3.4997706E+001, 3.4997732E+001, 3.4997841E+001, 3.4997994E+001, 3.4998285E+001, 3.4998908E+001, 3.4999962E+001, 3.5001276E+001, 3.5002460E+001, 3.5003183E+001, 3.5003403E+001, 3.5003317E+001, 3.5003123E+001, 3.5002907E+001, 3.5002659E+001
 1.4226286E-002, 3.4998860E+001, 3.4999045E+001, 3.4999225E+001, 3.4999257E+001, 3.4999075E+001, 3.4998778E+001, 3.4998635E+001, 3.4998938E+001, 3.4999776E+001, 3.5000905E+001, 3.5001909E+001, 3.5002531E+001, 3.5002791E+001, 3.5002822E+001, 3.5002718E+001, 3.5002513E+001
 1.4337428E-002, 3.4999843E+001, 3.5000300E+001, 3.5000682E+001, 3.5000839E+001, 3.5000679E+001, 3.5000210E+001, 3.4999576E+001, 3.4999067E+001, 3.4998980E+001, 3.4999395E+001, 3.5000114E+001, 3.5000847E+001, 3.5001423E+001, 3.5001791E+001, 3.5001958E+001, 3.5001956E+001
 1.4448571E-002, 3.5000151E+001, 3.5000682E+001, 3.5001188E+001, 3.5001577E+001, 3.5001755E+001, 3.5001602E+001, 3.5001040E+001, 3.5000179E+001, 3.4999348E+001, 3.4998908E+001, 3.4999012E+001, 3.4999527E+001, 3.5000191E+001, 3.5000783E+001, 3.5001190E+001, 3.5001403E+001
 1.4559714E-002, 3.4999655E+001, 3.5000045E+001, 3.5000536E+001, 3.5001119E+001, 3.5001715E+001, 3.5002126E+001, 3.5002102E+001, 3.5001527E+001, 3.5000581E+001, 3.4999691E+001, 3.4999259E+001, 3.4999385E+001, 3.4999868E+001, 3.5000436E+001, 3.5000905E+001, 3.5001210E+001
 1.4670857E-002, 3.4998752E+001, 3.4998912E+001, 3.4999287E+001, 3.4999921E+001, 3.5000755E+001, 3.5001604E+001, 3.5002197E+001, 3.5002299E+001, 3.5001870E+001, 3.5001167E+001, 3.5000594E+001, 3.5000406E+001, 3.5000569E+001, 3.5000902E+001, 3.5001234E+001, 3.5001468E+001
 1.4782000E-002, 3.4998063E+001, 3.4998077E+001, 3.4998338E+001, 3.4998877E+001, 3.4999645E+001, 3.5000543E+001, 3.5001435E+001, 3.5002127E+001, 3.5002446E+001, 3.5002374E+001, 3.5002094E+001, 3.5001848E+001, 3.5001761E+001, 3.5001814E+001, 3.5001919E+001, 3.5001979E+001
 1.4893143E-002, 3.4998008E+001, 3.4998065E+001, 3.4998306E+001, 3.4998696E+001, 3.4999179E+001, 3.4999753E+001, 3.5000461E+001, 3.5001286E+001, 3.5002074E+001, 3.5002622E+001, 3.5002831E+001, 3.5002792E+001, 3.5002674E+001, 3.5002584E+001, 3.5002519E+001, 3.5002418E+001
 1.5004286E-002, 3.4998551E+001, 3.4998816E+001, 3.4999159E+001, 3.4999469E+001, 3.4999670E+001, 3.4999801E+001, 3.5000015E+001, 3.5000468E+001, 3.5001165E+001, 3.5001915E+001, 3.5002473E+001, 3.5002744E+001, 3.5002812E+001, 3.5002786E+001, 3.5002704E+001, 3.5002545E+001
 1.5115428E-002, 3.4999267E+001, 3.4999784E+001, 3.5000303E+001, 3.5000677E+001, 3.5000809E+001, 3.5000695E+001, 3.5000459E+001, 3.5000322E+001, 3.5000468E+001, 3.5000898E+001, 3.5001438E+001, 3.5001903E+001, 3.5002222E+001, 3.5002398E+001, 3.5002434E+001, 3.5002336E+001
 1.5226571E-002, 3.4999665E+001, 3.5000350E+001, 3.5001042E+001, 3.5001614E+001, 3.5001950E+001, 3.5001954E+001, 3.5001608E+001, 3.5001055E+001, 3.5000565E+001, 3.5000376E+001, 3.5000545E+001, 3.5000945E+001, 3.5001391E+001, 3.5001746E+001, 3.5001937E+001, 3.5001961E+001
 1.5337714E-002, 3.4999531E+001, 3.5000259E+001, 3.5001076E+001, 3.5001902E+001, 3.5002607E+001, 3.5003003E+001, 3.5002920E+001, 3.5002344E+001, 3.5001501E+001, 3.5000762E+001, 3.5000418E+001, 3.5000507E+001, 3.5000850E+001, 3.5001229E+001, 3.5001505E+001, 3.5001633E+001
 1.5448857E-002, 3.4999064E+001, 3.4999787E+001, 3.5000704E+001, 3.5001757E+001, 3.5002799E+001, 3.5003599E+001, 3.5003913E+001, 3.5003611E+001, 3.5002797E+001, 3.5001813E+001, 3.5001058E+001, 3.5000736E+001, 3.5000786E+001, 3.5001021E+001, 3.5001273E+001, 3.5001441E+001
 1.5560000E-002, 3.4998734E+001, 3.4999551E+001, 3.5000624E+001, 3.5001857E+001, 3.5003064E+001, 3.5004018E+001, 3.5004519E+001, 3.5004439E+001, 3.5003800E+001, 3.5002822E+001, 3.5001852E+001, 3.5001181E+001, 3.5000901E+001, 3.5000927E+001, 3.5001102E+001, 3.5001273E+001
 1.5671143E-002, 3.4998979E+001, 3.5000117E+001, 3.5001501E+001, 3.5002930E+001, 3.5004141E+001, 3.5004918E+001, 3.5005164E+001, 3.5004879E+001, 3.5004135E+001, 3.5003086E+001, 3.5001974E+001, 3.5001075E+001, 3.5000574E+001, 3.5000474E+001, 3.5000633E+001, 3.5000854E+001
 1.5782286E-002, 3.4999962E+001, 3.5001699E+001, 3.5003625E+001, 3.5005387E+001, 3.5006600E+001, 3.5006999E+001, 3.5006552E+001, 3.5005440E+001, 3.5003945E+001, 3.5002338E+001, 3.5000861E+001, 3.4999747E+001, 3.4999166E+001, 3.4999121E+001, 3.4999433E+001, 3.4999855E+001
 1.5893428E-002, 3.5001568E+001, 3.5004160E+001, 3.5006900E+001, 3.5009262E+001, 3.5010676E+001, 3.5010725E+001, 3.5009326E+001, 3.5006804E+001, 3.5003759E+001, 3.5000813E+001, 3.4998430E+001, 3.4996880E+001, 3.4996253E+001, 3.4996433E+001, 3.4997125E+001, 3.4997989E+001
 1.6004571E-002, 3.5003625E+001, 3.5007311E+001, 3.5011172E+001, 3.5014484E+001, 3.5016425E+001, 3.5016302E+001, 3.5013854E+001, 3.5009469E+001, 3.5004112E+001, 3.4998940E+001, 3.4994884E+001, 3.4992424E+001, 3.4991594E+001, 3.4992087E+001, 3.4993402E+001, 3.4995018E+001
 1.6115714E-002, 3.5006205E+001, 3.5011287E+001, 3.5016648E+001, 3.5021309E+001, 3.5024089E+001, 3.5023914E+001, 3.5020267E+001, 3.5013566E+001, 3.5005159E+001, 3.4996858E+001, 3.4990255E+001, 3.4986236E+001, 3.4984887E+001, 3.4985711E+001, 3.4987913E+001, 3.4990665E+001
 1.6226857E-002, 3.5009788E+001, 3.5016754E+001, 3.5024142E+001, 3.5030592E+001, 3.5034415E+001, 3.5034058E+001, 3.5028737E+001, 3.5018958E+001, 3.5006554E+001, 3.4994103E+001, 3.4983997E+001, 3.4977694E+001, 3.4975471E+001, 3.4976668E+001, 3.4980108E+001, 3.4984498E+001
 1.6338000E-002, 3.5015204E+001, 3.5024817E+001, 3.5034980E+001, 3.5043749E+001, 3.5048727E+001, 3.5047751E+001, 3.5039778E+001, 3.5025565E+001, 3.5007669E+001, 3.4989660E+001, 3.4974898E+001, 3.4965543E+001, 3.4962157E+001, 3.4963912E+001, 3.4969121E+001, 3.4975847E+001
 1.6449143E-002, 3.5023410E+001, 3.5036728E+001, 3.5050669E+001, 3.5062460E+001, 3.5068722E+001, 3.5066478E+001, 3.5054388E+001, 3.5033654E+001, 3.5007963E+001, 3.4982308E+001, 3.4961330E+001, 3.4948036E+001, 3.4943288E+001, 3.4945994E+001, 3.4953768E+001, 3.4963803E+001
 1.6560286E-002, 3.5035276E+001, 3.5053608E+001, 3.5072590E+001, 3.5088330E+001, 3.5096146E+001, 3.5091933E+001, 3.5073910E+001, 3.5043905E+001, 3.5007246E+001, 3.4971009E+001, 3.4941646E+001, 3.4923254E+001, 3.4916959E+001, 3.4921206E+001, 3.4932641E+001, 3.4947300E+001
 1.6671428E-002, 3.5051548E+001, 3.5076405E+001, 3.5101914E+001, 3.5122759E+001, 3.5132557E+001, 3.5125689E+001, 3.5099698E+001, 3.5057162E+001, 3.5005611E+001, 3.4955033E+001, 3.4914433E+001, 3.4889377E+001, 3.4881248E+001, 3.4887771E+001, 3.4904263E+001, 3.4925232E+001
 1.6782571E-002, 3.5072986E+001, 3.5106068E+001, 3.5139782E+001, 3.5167036E+001, 3.5179292E+001, 3.5168986E+001, 3.5132740E+001, 3.5074000E+001, 3.5003071E+001, 3.4933753E+001, 3.4878472E+001, 3.4844781E+001, 3.4834379E+001, 3.4844011E+001, 3.4867245E+001, 3.4896574E+001
 1.6893714E-002, 3.5100556E+001, 3.5143781E+001, 3.5187542E+001, 3.5222528E+001, 3.5237541E+001, 3.5222655E+001, 3.5173416E+001, 3.5094336E+001, 3.4999114E+001, 3.4906261E+001, 3.4832510E+001, 3.4787973E+001, 3.4774797E+001, 3.4788502E+001, 3.4820431E+001, 3.4860504E+001
 1.7004857E-002, 3.5135481E+001, 3.5191016E+001, 3.5246779E+001, 3.5290696E+001, 3.5308348E+001, 3.5287098E+001, 3.5221415E+001, 3.5117272E+001, 3.4992470E+001, 3.4871126E+001, 3.4775101E+001, 3.4717577E+001, 3.4701270E+001, 3.4720230E+001, 3.4763072E+001, 3.4816532E+001
 1.7116000E-002, 3.5179043E+001, 3.5249269E+001, 3.5319013E+001, 3.5372785E+001, 3.5392368E+001, 3.5362150E+001, 3.5275736E+001, 3.5141172E+001, 3.4981227E+001, 3.4826522E+001, 3.4704748E+001, 3.4632522E+001, 3.4613132E+001, 3.4638852E+001, 3.4695050E+001, 3.4764682E+001
 1.7227143E-002, 3.5232214E+001, 3.5319575E+001, 3.5405129E+001, 3.5469250E+001, 3.5489358E+001, 3.5446747E+001, 3.5334588E+001, 3.5163840E+001, 3.4963217E+001, 3.4770716E+001, 3.4620418E+001, 3.4532525E+001, 3.4510708E+001, 3.4545055E+001, 3.4617175E+001, 3.4705715E+001
 1.7338286E-002, 3.5295237E+001, 3.5401997E+001, 3.5504792E+001, 3.5579122E+001, 3.5597575E+001, 3.5538438E+001, 3.5395149E+001, 3.5182603E+001, 3.4936429E+001, 3.4702707E+001, 3.4522245E+001, 3.4418740E+001, 3.4395849E+001, 3.4440979E+001, 3.4531508E+001, 3.4641371E+001
 1.7449428E-002, 3.5367337E+001, 3.5495274E+001, 3.5616041E+001, 3.5699562E+001, 3.5713307E+001, 3.5632962E+001, 3.5453276E+001, 3.5194270E+001, 3.4899269E+001, 3.4622743E+001, 3.4412163E+001, 3.4294362E+001, 3.4272438E+001, 3.4330600E+001, 3.4441637E+001, 3.4574561E+001
 1.7560571E-002, 3.5446547E+001, 3.5596639E+001, 3.5735089E+001, 3.5825652E+001, 3.5830692E+001, 3.5724129E+001, 3.5503473E+001, 3.5195183E+001, 3.4850728E+001, 3.4532606E+001, 3.4294270E+001, 3.4164980E+001, 3.4146660E+001, 3.4219918E+001, 3.4352789E+001, 3.4509406E+001
 1.7671714E-002, 3.5529574E+001, 3.5701660E+001, 3.5856170E+001, 3.5950335E+001, 3.5941856E+001, 3.5804178E+001, 3.5539371E+001, 3.5181683E+001, 3.4790716E+001, 3.4435803E+001, 3.4174903E+001, 3.4038571E+001, 3.4026939E+001, 3.4116823E+001, 3.4271653E+001, 3.4451052E+001
