,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
  71500,2020-11-06T13:42:03.525+01:00,   0.358E-04,   3.89763,1057.29688
  71600,2020-11-06T13:42:03.895+01:00,   0.349E-04,   3.90138,1058.76562
  71700,2020-11-06T13:42:04.261+01:00,   0.373E-04,   3.90505,1060.06250
  71800,2020-11-06T13:42:04.609+01:00,   0.355E-04,   3.90872,1061.40625
  71900,2020-11-06T13:42:04.990+01:00,   0.297E-04,   3.91181,1062.95312
  72000,2020-11-06T13:42:05.361+01:00,   0.322E-04,   3.91509,1064.39062
  72100,2020-11-06T13:42:05.718+01:00,   0.350E-04,   3.91853,1065.82812
  72200,2020-11-06T13:42:06.094+01:00,   0.379E-04,   3.92206,1067.20312
  72300,2020-11-06T13:42:06.433+01:00,   0.370E-04,   3.92573,1068.46875
  72400,2020-11-06T13:42:06.831+01:00,   0.370E-04,   3.92943,1070.03125
  72500,2020-11-06T13:42:07.197+01:00,   0.355E-04,   3.93277,1071.48438
  72600,2020-11-06T13:42:07.581+01:00,   0.386E-04,   3.93631,1072.93750
  72700,2020-11-06T13:42:07.979+01:00,   0.376E-04,   3.94003,1074.53125
  72800,2020-11-06T13:42:08.389+01:00,   0.409E-04,   3.94377,1076.15625
  72900,2020-11-06T13:42:08.811+01:00,   0.353E-04,   3.94759,1077.79688
  73000,2020-11-06T13:42:09.222+01:00,   0.340E-04,   3.95106,1079.39062
  73100,2020-11-06T13:42:09.645+01:00,   0.356E-04,   3.95464,1081.03125
  73200,2020-11-06T13:42:10.073+01:00,   0.328E-04,   3.95815,1082.68750
  73300,2020-11-06T13:42:10.454+01:00,   0.350E-04,   3.96149,1084.10938
  73400,2020-11-06T13:42:10.810+01:00,   0.350E-04,   3.96499,1085.45312
  73500,2020-11-06T13:42:11.166+01:00,   0.330E-04,   3.96847,1086.89062
  73600,2020-11-06T13:42:11.569+01:00,   0.347E-04,   3.97187,1088.51562
  73700,2020-11-06T13:42:11.948+01:00,   0.331E-04,   3.97520,1089.96875
  73800,2020-11-06T13:42:12.344+01:00,   0.360E-04,   3.97887,1091.48438
  73900,2020-11-06T13:42:12.753+01:00,   0.332E-04,   3.98218,1093.09375
  74000,2020-11-06T13:42:13.140+01:00,   0.360E-04,   3.98566,1094.65625
  74100,2020-11-06T13:42:13.563+01:00,   0.295E-04,   3.98891,1096.34375
  74200,2020-11-06T13:42:13.972+01:00,   0.351E-04,   3.99232,1097.95312
  74300,2020-11-06T13:42:14.351+01:00,   0.339E-04,   3.99583,1099.45312
  74400,2020-11-06T13:42:14.755+01:00,   0.320E-04,   3.99927,1101.07812
  74500,2020-11-06T13:42:15.108+01:00,   0.352E-04,   4.00265,1102.39062
  74600,2020-11-06T13:42:15.456+01:00,   0.372E-04,   4.00617,1103.76562
  74700,2020-11-06T13:42:15.837+01:00,   0.389E-04,   4.00951,1105.23438
  74800,2020-11-06T13:42:16.212+01:00,   0.303E-04,   4.01311,1106.73438
  74900,2020-11-06T13:42:16.580+01:00,   0.357E-04,   4.01654,1108.17188
  75000,2020-11-06T13:42:16.940+01:00,   0.342E-04,   4.02000,1109.56250
  75100,2020-11-06T13:42:17.336+01:00,   0.297E-04,   4.02320,1111.15625
  75200,2020-11-06T13:42:17.739+01:00,   0.356E-04,   4.02666,1112.78125
  75300,2020-11-06T13:42:18.111+01:00,   0.314E-04,   4.03008,1114.21875
  75400,2020-11-06T13:42:18.486+01:00,   0.337E-04,   4.03340,1115.70312
  75500,2020-11-06T13:42:18.871+01:00,   0.360E-04,   4.03699,1117.18750
  75600,2020-11-06T13:42:19.261+01:00,   0.338E-04,   4.04056,1118.67188
  75700,2020-11-06T13:42:19.611+01:00,   0.338E-04,   4.04394,1120.04688
  75800,2020-11-06T13:42:19.969+01:00,   0.355E-04,   4.04742,1121.48438
  75900,2020-11-06T13:42:20.342+01:00,   0.345E-04,   4.05107,1122.95312
  76000,2020-11-06T13:42:20.679+01:00,   0.325E-04,   4.05465,1124.32812
  76100,2020-11-06T13:42:21.048+01:00,   0.314E-04,   4.05801,1125.76562
  76200,2020-11-06T13:42:21.427+01:00,   0.329E-04,   4.06152,1127.32812
  76300,2020-11-06T13:42:21.814+01:00,   0.362E-04,   4.06509,1128.78125
  76400,2020-11-06T13:42:22.193+01:00,   0.296E-04,   4.06865,1130.28125
  76500,2020-11-06T13:42:22.597+01:00,   0.350E-04,   4.07218,1131.90625
  76600,2020-11-06T13:42:22.970+01:00,   0.326E-04,   4.07540,1133.34375
  76700,2020-11-06T13:42:23.367+01:00,   0.394E-04,   4.07902,1134.93750
  76800,2020-11-06T13:42:23.723+01:00,   0.332E-04,   4.08243,1136.34375
  76900,2020-11-06T13:42:24.120+01:00,   0.356E-04,   4.08590,1137.82812
  77000,2020-11-06T13:42:24.507+01:00,   0.338E-04,   4.08936,1139.37500
  77100,2020-11-06T13:42:24.870+01:00,   0.372E-04,   4.09279,1140.81250
  77200,2020-11-06T13:42:25.209+01:00,   0.322E-04,   4.09621,1142.14062
  77300,2020-11-06T13:42:25.553+01:00,   0.319E-04,   4.09963,1143.45312
  77400,2020-11-06T13:42:25.936+01:00,   0.386E-04,   4.10329,1144.92188
  77500,2020-11-06T13:42:26.272+01:00,   0.366E-04,   4.10689,1146.29688
  77600,2020-11-06T13:42:26.620+01:00,   0.349E-04,   4.11039,1147.67188
  77700,2020-11-06T13:42:26.966+01:00,   0.361E-04,   4.11364,1149.04688
  77800,2020-11-06T13:42:27.367+01:00,   0.348E-04,   4.11725,1150.59375
  77900,2020-11-06T13:42:27.738+01:00,   0.338E-04,   4.12058,1152.07812
  78000,2020-11-06T13:42:28.095+01:00,   0.327E-04,   4.12414,1153.42188
  78100,2020-11-06T13:42:28.466+01:00,   0.336E-04,   4.12751,1154.92188
  78200,2020-11-06T13:42:28.826+01:00,   0.316E-04,   4.13085,1156.35938
  78300,2020-11-06T13:42:29.208+01:00,   0.361E-04,   4.13439,1157.87500
  78400,2020-11-06T13:42:29.604+01:00,   0.335E-04,   4.13770,1159.43750
  78500,2020-11-06T13:42:29.977+01:00,   0.364E-04,   4.14089,1160.93750
  78600,2020-11-06T13:42:30.340+01:00,   0.328E-04,   4.14425,1162.37500
  78700,2020-11-06T13:42:30.732+01:00,   0.339E-04,   4.14757,1163.93750
  78800,2020-11-06T13:42:31.132+01:00,   0.368E-04,   4.15103,1165.56250
  78900,2020-11-06T13:42:31.498+01:00,   0.346E-04,   4.15434,1167.00000
  79000,2020-11-06T13:42:31.895+01:00,   0.326E-04,   4.15777,1168.60938
  79100,2020-11-06T13:42:32.245+01:00,   0.301E-04,   4.16130,1169.95312
  79200,2020-11-06T13:42:32.610+01:00,   0.323E-04,   4.16476,1171.37500
  79300,2020-11-06T13:42:32.966+01:00,   0.348E-04,   4.16792,1172.78125
  79400,2020-11-06T13:42:33.301+01:00,   0.341E-04,   4.17124,1174.10938
  79500,2020-11-06T13:42:33.681+01:00,   0.354E-04,   4.17487,1175.56250
  79600,2020-11-06T13:42:34.081+01:00,   0.383E-04,   4.17832,1177.12500
  79700,2020-11-06T13:42:34.477+01:00,   0.298E-04,   4.18155,1178.68750
  79800,2020-11-06T13:42:34.867+01:00,   0.345E-04,   4.18501,1180.20312
  79900,2020-11-06T13:42:35.244+01:00,   0.352E-04,   4.18846,1181.62500
  80000,2020-11-06T13:42:35.613+01:00,   0.338E-04,   4.19153,1183.10938
  80100,2020-11-06T13:42:35.967+01:00,   0.319E-04,   4.19473,1184.48438
  80200,2020-11-06T13:42:36.367+01:00,   0.330E-04,   4.19807,1186.09375
  80300,2020-11-06T13:42:36.749+01:00,   0.363E-04,   4.20168,1187.59375
  80400,2020-11-06T13:42:37.116+01:00,   0.355E-04,   4.20515,1189.09375
  80500,2020-11-06T13:42:37.459+01:00,   0.325E-04,   4.20841,1190.37500
  80600,2020-11-06T13:42:37.827+01:00,   0.373E-04,   4.21178,1191.76562
  80700,2020-11-06T13:42:38.192+01:00,   0.312E-04,   4.21517,1193.23438
  80800,2020-11-06T13:42:38.591+01:00,   0.357E-04,   4.21861,1194.78125
  80900,2020-11-06T13:42:38.956+01:00,   0.340E-04,   4.22192,1196.28125
  81000,2020-11-06T13:42:39.346+01:00,   0.315E-04,   4.22505,1197.78125
  81100,2020-11-06T13:42:39.716+01:00,   0.337E-04,   4.22859,1199.28125
  81200,2020-11-06T13:42:40.079+01:00,   0.316E-04,   4.23194,1200.70312
  81300,2020-11-06T13:42:40.443+01:00,   0.329E-04,   4.23522,1202.20312
  81400,2020-11-06T13:42:40.806+01:00,   0.314E-04,   4.23855,1203.64062
  81500,2020-11-06T13:42:41.203+01:00,   0.370E-04,   4.24177,1205.20312
  81600,2020-11-06T13:42:41.556+01:00,   0.323E-04,   4.24517,1206.64062
  81700,2020-11-06T13:42:41.937+01:00,   0.343E-04,   4.24850,1208.10938
  81800,2020-11-06T13:42:42.316+01:00,   0.330E-04,   4.25186,1209.62500
  81900,2020-11-06T13:42:42.700+01:00,   0.334E-04,   4.25499,1211.12500
  82000,2020-11-06T13:42:43.057+01:00,   0.340E-04,   4.25828,1212.56250
  82100,2020-11-06T13:42:43.427+01:00,   0.332E-04,   4.26157,1214.01562
  82200,2020-11-06T13:42:43.785+01:00,   0.356E-04,   4.26502,1215.31250
  82300,2020-11-06T13:42:44.172+01:00,   0.369E-04,   4.26841,1216.81250
  82400,2020-11-06T13:42:44.513+01:00,   0.355E-04,   4.27178,1218.18750
  82500,2020-11-06T13:42:44.861+01:00,   0.314E-04,   4.27489,1219.46875
  82600,2020-11-06T13:42:45.344+01:00,   0.270E-04,   4.27795,1221.04688
  82700,2020-11-06T13:42:45.728+01:00,   0.327E-04,   4.28116,1222.53125
  82800,2020-11-06T13:42:46.125+01:00,   0.323E-04,   4.28453,1224.09375
  82900,2020-11-06T13:42:46.489+01:00,   0.356E-04,   4.28793,1225.54688
  83000,2020-11-06T13:42:46.895+01:00,   0.316E-04,   4.29123,1227.07812
  83100,2020-11-06T13:42:47.229+01:00,   0.291E-04,   4.29445,1228.37500
  83200,2020-11-06T13:42:47.585+01:00,   0.313E-04,   4.29776,1229.78125
  83300,2020-11-06T13:42:47.975+01:00,   0.295E-04,   4.30094,1231.26562
  83400,2020-11-06T13:42:48.342+01:00,   0.352E-04,   4.30424,1232.70312
  83500,2020-11-06T13:42:48.730+01:00,   0.298E-04,   4.30778,1234.20312
  83600,2020-11-06T13:42:49.089+01:00,   0.346E-04,   4.31110,1235.57812
  83700,2020-11-06T13:42:49.533+01:00,   0.333E-04,   4.31449,1237.31250
  83800,2020-11-06T13:42:49.895+01:00,   0.288E-04,   4.31763,1238.81250
  83900,2020-11-06T13:42:50.262+01:00,   0.325E-04,   4.32107,1240.25000
  84000,2020-11-06T13:42:50.668+01:00,   0.280E-04,   4.32436,1241.79688
  84100,2020-11-06T13:42:51.028+01:00,   0.331E-04,   4.32743,1243.21875
  84200,2020-11-06T13:42:51.416+01:00,   0.311E-04,   4.33064,1244.76562
  84300,2020-11-06T13:42:51.790+01:00,   0.335E-04,   4.33374,1246.25000
  84400,2020-11-06T13:42:52.172+01:00,   0.325E-04,   4.33695,1247.68750
  84500,2020-11-06T13:42:52.550+01:00,   0.339E-04,   4.34016,1249.25000
  84600,2020-11-06T13:42:53.258+01:00,   0.323E-04,   4.34349,1251.43750
  84700,2020-11-06T13:42:54.028+01:00,   0.313E-04,   4.34679,1253.56250
  84800,2020-11-06T13:42:54.446+01:00,   0.344E-04,   4.35006,1255.23438
  84900,2020-11-06T13:42:54.896+01:00,   0.301E-04,   4.35330,1257.01562
  85000,2020-11-06T13:42:55.388+01:00,   0.262E-04,   4.35648,1258.78125
  85100,2020-11-06T13:42:55.890+01:00,   0.347E-04,   4.35958,1260.60938
  85200,2020-11-06T13:42:56.431+01:00,   0.338E-04,   4.36298,1262.35938
  85300,2020-11-06T13:42:56.842+01:00,   0.311E-04,   4.36629,1263.98438
  85400,2020-11-06T13:42:57.218+01:00,   0.366E-04,   4.36957,1265.46875
  85500,2020-11-06T13:42:57.619+01:00,   0.354E-04,   4.37293,1266.93750
  85600,2020-11-06T13:42:58.038+01:00,   0.348E-04,   4.37643,1268.46875
  85700,2020-11-06T13:42:58.489+01:00,   0.337E-04,   4.37994,1270.23438
  85800,2020-11-06T13:42:58.888+01:00,   0.370E-04,   4.38335,1271.65625
  85900,2020-11-06T13:42:59.268+01:00,   0.295E-04,   4.38659,1273.15625
  86000,2020-11-06T13:42:59.665+01:00,   0.342E-04,   4.38965,1274.76562
  86100,2020-11-06T13:43:00.045+01:00,   0.324E-04,   4.39279,1276.17188
  86200,2020-11-06T13:43:00.484+01:00,   0.311E-04,   4.39614,1277.89062
  86300,2020-11-06T13:43:00.880+01:00,   0.342E-04,   4.39951,1279.48438
  86400,2020-11-06T13:43:01.254+01:00,   0.316E-04,   4.40284,1280.95312
  86500,2020-11-06T13:43:01.655+01:00,   0.343E-04,   4.40617,1282.48438
  86600,2020-11-06T13:43:02.060+01:00,   0.298E-04,   4.40946,1284.09375
  86700,2020-11-06T13:43:02.547+01:00,   0.318E-04,   4.41259,1285.92188
  86800,2020-11-06T13:43:02.943+01:00,   0.339E-04,   4.41594,1287.53125
  86900,2020-11-06T13:43:03.340+01:00,   0.316E-04,   4.41927,1289.04688
  87000,2020-11-06T13:43:03.686+01:00,   0.332E-04,   4.42233,1290.40625
  87100,2020-11-06T13:43:04.050+01:00,   0.318E-04,   4.42560,1291.90625
  87200,2020-11-06T13:43:04.453+01:00,   0.311E-04,   4.42892,1293.35938
  87300,2020-11-06T13:43:04.852+01:00,   0.283E-04,   4.43221,1294.95312
  87400,2020-11-06T13:43:05.178+01:00,   0.337E-04,   4.43532,1296.23438
  87500,2020-11-06T13:43:05.573+01:00,   0.302E-04,   4.43854,1297.78125
  87600,2020-11-06T13:43:05.971+01:00,   0.333E-04,   4.44180,1299.25000
  87700,2020-11-06T13:43:06.336+01:00,   0.258E-04,   4.44499,1300.73438
  87800,2020-11-06T13:43:06.735+01:00,   0.294E-04,   4.44800,1302.29688
  87900,2020-11-06T13:43:07.091+01:00,   0.345E-04,   4.45142,1303.68750
  88000,2020-11-06T13:43:07.483+01:00,   0.307E-04,   4.45478,1305.23438
  88100,2020-11-06T13:43:07.880+01:00,   0.322E-04,   4.45792,1306.81250
  88200,2020-11-06T13:43:08.264+01:00,   0.344E-04,   4.46112,1308.29688
  88300,2020-11-06T13:43:08.631+01:00,   0.344E-04,   4.46457,1309.76562
  88400,2020-11-06T13:43:09.041+01:00,   0.240E-04,   4.46769,1311.37500
  88500,2020-11-06T13:43:09.412+01:00,   0.351E-04,   4.47095,1312.81250
  88600,2020-11-06T13:43:09.797+01:00,   0.337E-04,   4.47423,1314.31250
  88700,2020-11-06T13:43:10.171+01:00,   0.312E-04,   4.47742,1315.76562
  88800,2020-11-06T13:43:10.561+01:00,   0.303E-04,   4.48060,1317.26562
  88900,2020-11-06T13:43:10.933+01:00,   0.321E-04,   4.48393,1318.73438
  89000,2020-11-06T13:43:11.280+01:00,   0.319E-04,   4.48714,1320.06250
  89100,2020-11-06T13:43:11.663+01:00,   0.296E-04,   4.49022,1321.59375
  89200,2020-11-06T13:43:12.078+01:00,   0.266E-04,   4.49322,1323.14062
  89300,2020-11-06T13:43:12.450+01:00,   0.345E-04,   4.49659,1324.62500
  89400,2020-11-06T13:43:12.880+01:00,   0.326E-04,   4.49984,1326.25000
  89500,2020-11-06T13:43:13.343+01:00,   0.345E-04,   4.50317,1327.98438
  89600,2020-11-06T13:43:13.727+01:00,   0.330E-04,   4.50642,1329.54688
  89700,2020-11-06T13:43:14.142+01:00,   0.327E-04,   4.50956,1331.14062
  89800,2020-11-06T13:43:14.534+01:00,   0.315E-04,   4.51260,1332.64062
  89900,2020-11-06T13:43:14.911+01:00,   0.346E-04,   4.51593,1334.15625
  90000,2020-11-06T13:43:15.295+01:00,   0.309E-04,   4.51905,1335.60938
  90100,2020-11-06T13:43:15.693+01:00,   0.314E-04,   4.52209,1337.23438
  90200,2020-11-06T13:43:16.086+01:00,   0.328E-04,   4.52521,1338.78125
  90300,2020-11-06T13:43:16.492+01:00,   0.348E-04,   4.52851,1340.35938
  90400,2020-11-06T13:43:16.901+01:00,   0.344E-04,   4.53178,1341.92188
  90500,2020-11-06T13:43:17.314+01:00,   0.340E-04,   4.53521,1343.51562
  90600,2020-11-06T13:43:17.710+01:00,   0.333E-04,   4.53853,1345.04688
  90700,2020-11-06T13:43:18.119+01:00,   0.323E-04,   4.54171,1346.60938
  90800,2020-11-06T13:43:18.505+01:00,   0.344E-04,   4.54496,1348.10938
  90900,2020-11-06T13:43:18.919+01:00,   0.282E-04,   4.54802,1349.64062
  91000,2020-11-06T13:43:19.299+01:00,   0.364E-04,   4.55127,1351.14062
  91100,2020-11-06T13:43:19.670+01:00,   0.311E-04,   4.55465,1352.57812
  91200,2020-11-06T13:43:20.024+01:00,   0.304E-04,   4.55777,1353.96875
  91300,2020-11-06T13:43:20.425+01:00,   0.298E-04,   4.56099,1355.59375
  91400,2020-11-06T13:43:20.777+01:00,   0.348E-04,   4.56406,1356.96875
  91500,2020-11-06T13:43:21.148+01:00,   0.326E-04,   4.56718,1358.46875
  91600,2020-11-06T13:43:21.561+01:00,   0.344E-04,   4.57045,1359.96875
  91700,2020-11-06T13:43:21.945+01:00,   0.362E-04,   4.57354,1361.50000
  91800,2020-11-06T13:43:22.332+01:00,   0.309E-04,   4.57683,1363.04688
  91900,2020-11-06T13:43:22.718+01:00,   0.305E-04,   4.57999,1364.53125
  92000,2020-11-06T13:43:23.078+01:00,   0.330E-04,   4.58321,1365.95312
  92100,2020-11-06T13:43:23.447+01:00,   0.323E-04,   4.58639,1367.42188
  92200,2020-11-06T13:43:23.807+01:00,   0.304E-04,   4.58958,1368.84375
  92300,2020-11-06T13:43:24.176+01:00,   0.311E-04,   4.59257,1370.25000
  92400,2020-11-06T13:43:24.555+01:00,   0.311E-04,   4.59568,1371.68750
  92500,2020-11-06T13:43:24.937+01:00,   0.331E-04,   4.59899,1373.15625
  92600,2020-11-06T13:43:25.344+01:00,   0.347E-04,   4.60223,1374.78125
  92700,2020-11-06T13:43:25.721+01:00,   0.332E-04,   4.60554,1376.28125
  92800,2020-11-06T13:43:26.071+01:00,   0.320E-04,   4.60878,1377.71875
  92900,2020-11-06T13:43:26.433+01:00,   0.343E-04,   4.61193,1379.15625
  93000,2020-11-06T13:43:26.805+01:00,   0.329E-04,   4.61532,1380.64062
  93100,2020-11-06T13:43:27.213+01:00,   0.301E-04,   4.61860,1382.26562
  93200,2020-11-06T13:43:27.568+01:00,   0.316E-04,   4.62177,1383.67188
  93300,2020-11-06T13:43:27.921+01:00,   0.310E-04,   4.62509,1385.00000
  93400,2020-11-06T13:43:28.290+01:00,   0.290E-04,   4.62816,1386.48438
  93500,2020-11-06T13:43:28.667+01:00,   0.309E-04,   4.63125,1387.98438
  93600,2020-11-06T13:43:29.095+01:00,   0.340E-04,   4.63449,1389.64062
  93700,2020-11-06T13:43:29.540+01:00,   0.348E-04,   4.63755,1391.29688
  93800,2020-11-06T13:43:30.268+01:00,   0.309E-04,   4.64074,1393.71875
  93900,2020-11-06T13:43:30.855+01:00,   0.260E-04,   4.64392,1395.57812
  94000,2020-11-06T13:43:31.248+01:00,   0.328E-04,   4.64694,1397.12500
  94100,2020-11-06T13:43:31.687+01:00,   0.324E-04,   4.65008,1398.70312
  94200,2020-11-06T13:43:32.087+01:00,   0.348E-04,   4.65328,1400.31250
  94300,2020-11-06T13:43:32.468+01:00,   0.348E-04,   4.65676,1401.75000
  94400,2020-11-06T13:43:32.893+01:00,   0.344E-04,   4.66000,1403.34375
  94500,2020-11-06T13:43:33.313+01:00,   0.321E-04,   4.66316,1404.96875
  94600,2020-11-06T13:43:33.787+01:00,   0.305E-04,   4.66629,1406.87500
  94700,2020-11-06T13:43:34.289+01:00,   0.316E-04,   4.66926,1408.57812
  94800,2020-11-06T13:43:34.680+01:00,   0.312E-04,   4.67239,1410.10938
  94900,2020-11-06T13:43:35.063+01:00,   0.294E-04,   4.67560,1411.57812
  95000,2020-11-06T13:43:35.470+01:00,   0.310E-04,   4.67859,1413.20312
  95100,2020-11-06T13:43:35.842+01:00,   0.323E-04,   4.68163,1414.59375
  95200,2020-11-06T13:43:36.254+01:00,   0.300E-04,   4.68479,1416.23438
  95300,2020-11-06T13:43:36.623+01:00,   0.310E-04,   4.68787,1417.64062
  95400,2020-11-06T13:43:36.996+01:00,   0.357E-04,   4.69108,1419.09375
  95500,2020-11-06T13:43:37.341+01:00,   0.316E-04,   4.69449,1420.43750
  95600,2020-11-06T13:43:37.742+01:00,   0.336E-04,   4.69758,1422.06250
  95700,2020-11-06T13:43:38.144+01:00,   0.331E-04,   4.70070,1423.60938
  95800,2020-11-06T13:43:38.492+01:00,   0.321E-04,   4.70382,1425.03125
  95900,2020-11-06T13:43:38.885+01:00,   0.301E-04,   4.70704,1426.57812
  96000,2020-11-06T13:43:39.290+01:00,   0.264E-04,   4.71009,1428.12500
  96100,2020-11-06T13:43:39.639+01:00,   0.311E-04,   4.71318,1429.50000
  96200,2020-11-06T13:43:40.046+01:00,   0.308E-04,   4.71651,1431.12500
  96300,2020-11-06T13:43:40.492+01:00,   0.308E-04,   4.71958,1432.87500
  96400,2020-11-06T13:43:40.897+01:00,   0.290E-04,   4.72262,1434.48438
  96500,2020-11-06T13:43:41.283+01:00,   0.267E-04,   4.72565,1435.98438
  96600,2020-11-06T13:43:41.686+01:00,   0.283E-04,   4.72865,1437.59375
  96700,2020-11-06T13:43:42.087+01:00,   0.329E-04,   4.73182,1439.17188
  96800,2020-11-06T13:43:42.472+01:00,   0.322E-04,   4.73511,1440.60938
  96900,2020-11-06T13:43:42.830+01:00,   0.289E-04,   4.73828,1442.03125
  97000,2020-11-06T13:43:43.191+01:00,   0.350E-04,   4.74145,1443.53125
  97100,2020-11-06T13:43:43.580+01:00,   0.297E-04,   4.74468,1444.95312
  97200,2020-11-06T13:43:43.968+01:00,   0.342E-04,   4.74788,1446.42188
  97300,2020-11-06T13:43:44.347+01:00,   0.329E-04,   4.75107,1447.85938
  97400,2020-11-06T13:43:44.754+01:00,   0.261E-04,   4.75411,1449.53125
  97500,2020-11-06T13:43:45.130+01:00,   0.337E-04,   4.75718,1451.01562
  97600,2020-11-06T13:43:45.525+01:00,   0.323E-04,   4.76041,1452.54688
  97700,2020-11-06T13:43:45.950+01:00,   0.345E-04,   4.76369,1454.18750
  97800,2020-11-06T13:43:46.323+01:00,   0.297E-04,   4.76674,1455.67188
  97900,2020-11-06T13:43:46.697+01:00,   0.338E-04,   4.76967,1457.17188
  98000,2020-11-06T13:43:47.031+01:00,   0.288E-04,   4.77292,1458.48438
  98100,2020-11-06T13:43:47.373+01:00,   0.342E-04,   4.77620,1459.79688
  98200,2020-11-06T13:43:47.727+01:00,   0.301E-04,   4.77929,1461.18750
  98300,2020-11-06T13:43:48.125+01:00,   0.321E-04,   4.78247,1462.70312
  98400,2020-11-06T13:43:48.491+01:00,   0.285E-04,   4.78563,1464.20312
  98500,2020-11-06T13:43:48.864+01:00,   0.299E-04,   4.78871,1465.70312
  98600,2020-11-06T13:43:49.227+01:00,   0.349E-04,   4.79175,1467.14062
  98700,2020-11-06T13:43:49.631+01:00,   0.308E-04,   4.79496,1468.67188
  98800,2020-11-06T13:43:50.019+01:00,   0.327E-04,   4.79819,1470.23438
  98900,2020-11-06T13:43:50.401+01:00,   0.320E-04,   4.80151,1471.64062
  99000,2020-11-06T13:43:50.775+01:00,   0.328E-04,   4.80456,1473.09375
  99100,2020-11-06T13:43:51.160+01:00,   0.335E-04,   4.80777,1474.62500
  99200,2020-11-06T13:43:51.519+01:00,   0.294E-04,   4.81098,1476.04688
  99300,2020-11-06T13:43:51.934+01:00,   0.280E-04,   4.81389,1477.65625
  99400,2020-11-06T13:43:52.333+01:00,   0.300E-04,   4.81704,1479.28125
  99500,2020-11-06T13:43:52.713+01:00,   0.318E-04,   4.82006,1480.75000
  99600,2020-11-06T13:43:53.089+01:00,   0.279E-04,   4.82309,1482.20312
  99700,2020-11-06T13:43:53.482+01:00,   0.313E-04,   4.82599,1483.75000
  99800,2020-11-06T13:43:53.870+01:00,   0.300E-04,   4.82918,1485.28125
  99900,2020-11-06T13:43:54.228+01:00,   0.327E-04,   4.83212,1486.71875
 100000,2020-11-06T13:43:54.579+01:00,   0.316E-04,   4.83527,1488.09375
 100100,2020-11-06T13:43:54.934+01:00,   0.258E-04,   4.83804,1489.50000
 100200,2020-11-06T13:43:55.267+01:00,   0.366E-04,   4.84107,1490.81250
 100300,2020-11-06T13:43:55.673+01:00,   0.303E-04,   4.84418,1492.35938
 100400,2020-11-06T13:43:56.057+01:00,   0.287E-04,   4.84718,1493.92188
 100500,2020-11-06T13:43:56.428+01:00,   0.315E-04,   4.85027,1495.40625
 100600,2020-11-06T13:43:56.813+01:00,   0.295E-04,   4.85334,1496.87500
 100700,2020-11-06T13:43:57.157+01:00,   0.261E-04,   4.85607,1498.25000
 100800,2020-11-06T13:43:57.556+01:00,   0.335E-04,   4.85907,1499.79688
 100900,2020-11-06T13:43:57.947+01:00,   0.254E-04,   4.86188,1501.34375
 101000,2020-11-06T13:43:58.312+01:00,   0.304E-04,   4.86483,1502.76562
 101100,2020-11-06T13:43:58.701+01:00,   0.299E-04,   4.86784,1504.28125
 101200,2020-11-06T13:43:59.082+01:00,   0.317E-04,   4.87085,1505.82812
 101300,2020-11-06T13:43:59.452+01:00,   0.306E-04,   4.87386,1507.21875
 101400,2020-11-06T13:43:59.804+01:00,   0.289E-04,   4.87681,1508.54688
 101500,2020-11-06T13:44:00.172+01:00,   0.318E-04,   4.87991,1509.90625
 101600,2020-11-06T13:44:00.574+01:00,   0.251E-04,   4.88292,1511.51562
 101700,2020-11-06T13:44:00.952+01:00,   0.252E-04,   4.88594,1513.01562
 101800,2020-11-06T13:44:01.278+01:00,   0.293E-04,   4.88897,1514.32812
 101900,2020-11-06T13:44:01.635+01:00,   0.319E-04,   4.89207,1515.75000
 102000,2020-11-06T13:44:01.962+01:00,   0.289E-04,   4.89476,1517.03125
 102100,2020-11-06T13:44:02.312+01:00,   0.314E-04,   4.89772,1518.40625
 102200,2020-11-06T13:44:02.650+01:00,   0.331E-04,   4.90069,1519.78125
 102300,2020-11-06T13:44:02.997+01:00,   0.289E-04,   4.90399,1521.15625
 102400,2020-11-06T13:44:03.377+01:00,   0.343E-04,   4.90710,1522.62500
 102500,2020-11-06T13:44:03.732+01:00,   0.318E-04,   4.91013,1524.06250
 102600,2020-11-06T13:44:04.132+01:00,   0.283E-04,   4.91325,1525.68750
 102700,2020-11-06T13:44:04.485+01:00,   0.246E-04,   4.91624,1527.01562
 102800,2020-11-06T13:44:04.841+01:00,   0.289E-04,   4.91920,1528.43750
 102900,2020-11-06T13:44:05.192+01:00,   0.283E-04,   4.92195,1529.84375
 103000,2020-11-06T13:44:05.579+01:00,   0.302E-04,   4.92485,1531.34375
 103100,2020-11-06T13:44:06.012+01:00,   0.260E-04,   4.92778,1533.09375
 103200,2020-11-06T13:44:06.382+01:00,   0.248E-04,   4.93068,1534.56250
 103300,2020-11-06T13:44:06.779+01:00,   0.321E-04,   4.93374,1536.07812
 103400,2020-11-06T13:44:07.138+01:00,   0.313E-04,   4.93674,1537.46875
 103500,2020-11-06T13:44:07.492+01:00,   0.273E-04,   4.93959,1538.90625
 103600,2020-11-06T13:44:07.883+01:00,   0.297E-04,   4.94248,1540.45312
 103700,2020-11-06T13:44:08.233+01:00,   0.234E-04,   4.94542,1541.82812
 103800,2020-11-06T13:44:08.611+01:00,   0.334E-04,   4.94835,1543.31250
