s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 4.8496708E+001, 1.2327641E+001,-3.3188948E+000,-1.9579552E+000,-1.7684777E+000, 2.5476913E-003, 0.0000000E+000, 0.0000000E+000, 5.0349029E+000, 5.2848606E+000, 6.5707755E-004, 6.5707755E-004
 4.8651051E+001, 1.2413013E+001,-3.4056943E+000,-1.9359745E+000,-1.7697685E+000, 2.5359216E-003, 0.0000000E+000, 0.0000000E+000, 5.2411092E+000, 5.3041115E+000, 6.5707755E-004, 6.5707755E-004
 4.8805389E+001, 1.2456127E+001,-3.4702471E+000,-1.9142327E+000,-1.7728397E+000, 2.5142024E-003, 0.0000000E+000, 0.0000000E+000, 5.2528616E+000, 5.3013212E+000, 6.5707755E-004, 6.5707755E-004
 4.8959732E+001, 1.2477874E+001,-3.5152712E+000,-1.8949853E+000,-1.7795065E+000, 2.5286082E-003, 0.0000000E+000, 0.0000000E+000, 5.2419912E+000, 5.2906400E+000, 6.5707755E-004, 6.5707755E-004
 4.9114071E+001, 1.2488847E+001,-3.5550703E+000,-1.8749955E+000,-1.7848646E+000, 2.5453757E-003, 0.0000000E+000, 0.0000000E+000, 5.2256123E+000, 5.2764617E+000, 6.5707755E-004, 6.5707755E-004
 4.9268414E+001, 1.2494392E+001,-3.5721231E+000,-1.8594306E+000,-1.7920262E+000, 2.5511272E-003, 0.0000000E+000, 0.0000000E+000, 5.2009531E+000, 5.2733633E+000, 6.5707755E-004, 6.5707755E-004
 4.9422752E+001, 1.2497199E+001,-3.5902095E+000,-1.8487706E+000,-1.7994516E+000, 2.5534285E-003, 0.0000000E+000, 0.0000000E+000, 5.1885806E+000, 5.2613210E+000, 6.5707755E-004, 6.5707755E-004
 4.9577095E+001, 1.2498623E+001,-3.6211088E+000,-1.8446096E+000,-1.8057828E+000, 2.5544184E-003, 0.0000000E+000, 0.0000000E+000, 5.1648057E+000, 5.2296764E+000, 6.5707755E-004, 6.5707755E-004
 4.9731434E+001, 1.2499371E+001,-3.6353757E+000,-1.8448402E+000,-1.8111580E+000, 2.5547701E-003, 0.0000000E+000, 0.0000000E+000, 5.1191415E+000, 5.2105517E+000, 6.5707755E-004, 6.5707755E-004
 4.9885777E+001, 1.2499778E+001,-3.6458652E+000,-1.8445464E+000,-1.8188051E+000, 2.5548334E-003, 0.0000000E+000, 0.0000000E+000, 5.0855237E+000, 5.1931161E+000, 6.5707755E-004, 6.5707755E-004
 5.0000000E+001, 1.3542091E+001,-4.1228094E+000,-1.8343649E+000,-1.8255121E+000, 2.5548270E-003, 0.0000000E+000, 0.0000000E+000, 5.0603830E+000, 5.7619593E+000, 6.5707755E-004, 6.5707755E-004
